k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,4,0.6717157483100891,0.6254411339759827,0.5975107550621033,0.6317004561424255,0.5911316871643066
10,8,0.671939617395401,0.6189494729042053,0.5931243300437927,0.6235477328300476,0.5858797430992126
10,10,0.6633222281932831,0.9493196606636047,0.912541389465332,0.9511749744415283,0.8952462077140808
10,12,0.6722306847572327,0.9552354216575623,0.8964042067527771,0.9561536908149719,0.8663300275802612
10,14,0.6697620272636413,0.9934099316596985,0.9908660054206848,0.9936313033103943,0.9760578274726868
10,16,0.669100821018219,0.9979367256164551,0.9984344840049744,0.9979265928268433,0.9952240586280823
10,18,0.6754433512687683,0.9978063702583313,0.9981910586357117,0.9979628324508667,0.9948998093605042
15,4,0.678948986530304,0.5949105620384216,0.5721262693405151,0.6004374027252197,0.5737949013710022
15,6,0.6778833091259002,0.5915881395339966,0.5709811449050903,0.5956115126609802,0.570946455001831
15,8,0.6794794738292694,0.5844263434410095,0.5635868310928345,0.5889917612075806,0.561909556388855
15,10,0.6756438672542572,0.9387924671173096,0.8921118378639221,0.9425563216209412,0.8703412413597107
15,12,0.6744905233383178,0.9541618227958679,0.8412288427352905,0.9594247937202454,0.9198574423789978
15,14,0.6783278405666351,0.9801337718963623,0.9036614298820496,0.9815652966499329,0.9739298820495605
15,16,0.6738398313522339,0.9944570064544678,0.9873740077018738,0.9951872825622559,0.9926364421844482
15,18,0.5890495598316192,0.9978885054588318,0.9961705803871155,0.9980024695396423,0.9958251714706421
20,4,0.6755925595760346,0.6215119957923889,0.6061118841171265,0.6351069211959839,0.6121087074279785
20,6,0.5888409078121185,0.6283919215202332,0.6045708656311035,0.6344817876815796,0.5982221364974976
20,8,0.6672083914279938,0.6177308559417725,0.5935309529304504,0.6264029741287231,0.5961318612098694
20,10,0.6661628544330597,0.9164679646492004,0.8942734599113464,0.9212236404418945,0.8865013122558594
20,12,0.5850776672363281,0.939002275466919,0.9088693857192993,0.9422247409820557,0.8746408820152283
20,14,0.6681623220443725,0.9727266430854797,0.9558613896369934,0.975378692150116,0.9624407887458801
20,16,0.5816294014453888,0.9884448051452637,0.9912370443344116,0.9886037111282349,0.9888127446174622
20,18,0.6672789812088012,0.9943720102310181,0.994754433631897,0.9946185350418091,0.9947848916053772
25,4,0.672630900144577,0.013850080780684948,0.029310887679457664,0.013315371237695217,0.03292074054479599
25,6,0.6756265223026275,0.011088996194303036,0.051453351974487305,0.010407690890133381,0.030416041612625122
25,8,0.6726592600345611,0.015458479523658752,0.06998120993375778,0.014702894724905491,0.03534510359168053
25,10,0.6735704660415649,0.9009245038032532,0.8248422145843506,0.9060489535331726,0.8044819831848145
25,12,0.5837429106235504,0.9383329153060913,0.9110814929008484,0.9406887292861938,0.8907120227813721
25,14,0.5812005400657654,0.970927894115448,0.9466468691825867,0.9724916815757751,0.9362402558326721
25,16,0.6591904819011688,0.9931602478027344,0.9852505922317505,0.993821382522583,0.9878431558609009
25,18,0.5852984130382538,0.9978368878364563,0.9928277134895325,0.9980504512786865,0.9952528476715088
30,4,0.5720257341861725,0.5039783716201782,0.5012003183364868,0.5046857595443726,0.5020975470542908
30,6,0.5833696842193603,0.5037334561347961,0.5026349425315857,0.5041351914405823,0.5023419857025146
30,8,0.6612982392311096,0.5031725764274597,0.5012856125831604,0.5041061043739319,0.5024753212928772
30,10,0.5838129818439484,0.8798277974128723,0.8254414200782776,0.8867354989051819,0.8417726755142212
30,12,0.578509509563446,0.8777641654014587,0.843947172164917,0.886724591255188,0.8018069863319397
30,14,0.5773126721382141,0.9393783211708069,0.9341433048248291,0.9438599348068237,0.9245607256889343
30,16,0.5828584134578705,0.9774460196495056,0.9753012657165527,0.9791240096092224,0.969264566898346
30,18,0.5825708568096161,0.9889227151870728,0.9879961609840393,0.9895083904266357,0.9807772040367126
40,4,0.583385968208313,0.18098333477973938,0.2591805160045624,0.17982833087444305,0.24983833730220795
40,6,0.6675811767578125,0.1931176334619522,0.2733842432498932,0.19007036089897156,0.23398162424564362
40,8,0.6666320145130158,0.19653645157814026,0.27728894352912903,0.19302093982696533,0.24175548553466797
40,10,0.5769174575805665,0.8446182012557983,0.7821321487426758,0.854010283946991,0.7955915927886963
