k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,4,0.5772546708583832,0.7548803687095642,0.751439094543457,0.7499731183052063,0.7846094369888306
10,6,0.5205932140350342,0.7884089350700378,0.7671304941177368,0.7932393550872803,0.7745204567909241
10,8,0.5580305397510529,0.817640483379364,0.7975092530250549,0.8216966986656189,0.7887447476387024
10,10,0.5157310485839843,0.8266881704330444,0.7842099666595459,0.8220362663269043,0.8087314367294312
10,12,0.5358355462551116,0.8822684288024902,0.8037328720092773,0.8842094540596008,0.8154175281524658
10,14,0.5303170621395111,0.8591848015785217,0.7837340235710144,0.8739914894104004,0.7512084245681763
10,16,0.5355617225170135,0.7014856338500977,0.456781804561615,0.7486097812652588,0.458147794008255
10,18,0.45677167773246763,0.8455336689949036,0.5661213397979736,0.8463143110275269,0.6242190599441528
15,4,0.6085535287857056,0.7698002457618713,0.7578414678573608,0.7709649801254272,0.7768425345420837
15,6,0.5568918704986572,0.7751725912094116,0.7555537223815918,0.7755734920501709,0.7682196497917175
15,8,0.5204971015453339,0.7280349135398865,0.7461704015731812,0.7093475461006165,0.7584101557731628
15,10,0.5169405400753021,0.6539075374603271,0.6432239413261414,0.6256454586982727,0.6747806072235107
15,12,0.5337228298187255,0.49819374084472656,0.31789183616638184,0.4944762587547302,0.4870186448097229
15,14,0.5346505880355835,0.5879097580909729,0.17016497254371643,0.5697111487388611,0.5880802273750305
15,16,0.4489462077617645,0.5168659090995789,0.03574059158563614,0.49573737382888794,0.4163327217102051
15,18,0.5300900995731354,0.3060339093208313,0.0188997033983469,0.29191920161247253,0.29560092091560364
20,4,0.5536929845809937,0.7473526000976562,0.7140955924987793,0.7504678964614868,0.7388415336608887
20,6,0.6078441560268402,0.7014774084091187,0.6809276938438416,0.7080610990524292,0.700141966342926
20,8,0.545047789812088,0.702761173248291,0.6911742687225342,0.7004409432411194,0.6897603273391724
20,10,0.5410007894039154,0.7411865592002869,0.7283234596252441,0.7306939363479614,0.7106070518493652
20,12,0.5488668262958527,0.718100368976593,0.693122386932373,0.7166042327880859,0.701529860496521
20,14,0.5429756820201874,0.6984453201293945,0.6933868527412415,0.6843724846839905,0.6504912972450256
20,16,0.549293166399002,0.6489202976226807,0.5903517007827759,0.5943193435668945,0.5133444666862488
20,18,0.5472392499446869,0.3953210413455963,0.41723665595054626,0.3946678340435028,0.45707401633262634
25,4,0.529112559556961,0.6786762475967407,0.6375996470451355,0.6847614049911499,0.6603337526321411
25,6,0.45994678139686584,0.6235755085945129,0.5254563689231873,0.6120820045471191,0.6089267134666443
25,8,0.545823484659195,0.5275087952613831,0.41376879811286926,0.5300291180610657,0.5499065518379211
25,10,0.5286129236221313,0.4183109998703003,0.2742738425731659,0.41244781017303467,0.3623354136943817
25,12,0.5241528630256653,0.5890341401100159,0.2304724007844925,0.5869203209877014,0.5250431299209595
