k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,2,0.2465385377407074,0.5517763495445251,0.5520367622375488,0.5517763495445251,0.5522299408912659
5,4,0.3196170210838318,0.604779839515686,0.6024828553199768,0.6030275821685791,0.6039316058158875
5,6,0.15907444208860397,0.7152380347251892,0.6778469085693359,0.7121902704238892,0.699961245059967
5,8,0.20520883798599243,0.8844046592712402,0.855297327041626,0.9013392925262451,0.908987283706665
5,10,0.18214000165462493,0.9318793416023254,0.8784458637237549,0.9371373653411865,0.9065555930137634
5,12,0.2022959440946579,0.9318910241127014,0.9391055107116699,0.9434789419174194,0.9369392991065979
5,14,0.19244887232780455,0.8736096024513245,0.5777642130851746,0.8712738156318665,0.8040937781333923
5,16,0.14544350504875184,0.9859695434570312,0.9764280915260315,0.9876545071601868,0.9844963550567627
5,18,0.20062682032585144,0.9499446749687195,0.9357378482818604,0.9572755098342896,0.9479252696037292
10,2,0.1752275347709656,0.6031555533409119,0.595784604549408,0.6035062074661255,0.6025285720825195
10,4,0.1087388813495636,0.5969669818878174,0.5937998294830322,0.5975610613822937,0.595497190952301
10,6,0.12179013937711716,0.5991653203964233,0.5954586267471313,0.6001725196838379,0.5993435382843018
10,8,0.12417152971029281,0.6064730286598206,0.6060464978218079,0.6085039377212524,0.6072565317153931
10,10,0.1348973795771599,0.6183940768241882,0.6034246683120728,0.6273182034492493,0.6117919087409973
10,12,0.17756528854370118,0.6264852285385132,0.5964695811271667,0.6270648837089539,0.607812225818634
10,14,0.14416443333029746,0.6182687878608704,0.5948598980903625,0.6212028861045837,0.5918427109718323
10,16,0.16496873497962952,0.6162751317024231,0.5955790281295776,0.6217858791351318,0.6118543148040771
10,18,0.14304760918021203,0.59926837682724,0.5871251821517944,0.6000452637672424,0.6054912805557251
15,2,0.16529284566640853,0.30285999178886414,0.298296183347702,0.3037487268447876,0.30602848529815674
15,4,0.19489234387874604,0.18383175134658813,0.19315464794635773,0.17783348262310028,0.12973788380622864
15,6,0.21401133835315705,0.24600300192832947,0.22716444730758667,0.2315145581960678,0.21491561830043793
15,8,0.16473345309495926,0.2090265452861786,0.1875397264957428,0.21541808545589447,0.22456592321395874
15,10,0.17787993848323821,0.22475764155387878,0.2529800534248352,0.22549796104431152,0.2500600516796112
15,12,0.14595976173877717,0.15018032491207123,0.18058724701404572,0.14216604828834534,0.17173220217227936
15,14,0.2045555293560028,0.42121103405952454,0.4172781705856323,0.4243744909763336,0.42528387904167175
15,16,0.20961283445358275,0.21905583143234253,0.2470758855342865,0.3373723030090332,0.3510650396347046
15,18,0.16402557492256165,0.15157373249530792,0.006774888839572668,0.2117597758769989,0.0625193864107132
20,2,0.22926968932151795,0.7554147839546204,0.743955135345459,0.7555488348007202,0.7544983625411987
20,4,0.14905788004398346,0.7437905073165894,0.7328705787658691,0.7456177473068237,0.7488755583763123
20,6,0.14815561175346376,0.7419626712799072,0.7394290566444397,0.7419412136077881,0.741943359375
20,8,0.14847136586904525,0.7529421448707581,0.7344585061073303,0.7595975399017334,0.7498053908348083
20,10,0.1570751041173935,0.7525672912597656,0.7253491878509521,0.7526995539665222,0.7474748492240906
20,12,0.1980619728565216,0.7452202439308167,0.7226155996322632,0.746463418006897,0.7391371726989746
20,14,0.20374481081962587,0.7618245482444763,0.7390592694282532,0.7680859565734863,0.7637239694595337
20,16,0.16285655349493028,0.7330183982849121,0.7048360705375671,0.7659024000167847,0.7604382634162903
20,18,0.17581656575202942,0.7524399161338806,0.7093666195869446,0.7567702531814575,0.7399844527244568
25,2,0.1533713549375534,0.759768545627594,0.7377115488052368,0.7599591016769409,0.7592694759368896
25,4,0.10682858526706696,0.7474331259727478,0.7267529368400574,0.7484939694404602,0.7367255091667175
25,6,0.08973711282014847,0.7174010872840881,0.7227790355682373,0.7170456647872925,0.7166278958320618
25,8,0.1732082337141037,0.7277162671089172,0.6979783177375793,0.727265477180481,0.7204980850219727
25,10,0.13768422305583955,0.7232365608215332,0.7012905478477478,0.7260269522666931,0.7177926301956177
25,12,0.16085231006145478,0.7356518507003784,0.7139902114868164,0.7475382685661316,0.7179780006408691
25,14,0.16360978782176971,0.7330307960510254,0.6999576091766357,0.752829909324646,0.7113020420074463
25,16,0.15896938145160674,0.7386966943740845,0.6989574432373047,0.7377261519432068,0.7123387455940247
25,18,0.16199443340301514,0.7342303395271301,0.6822122931480408,0.7408211827278137,0.7299246191978455
30,2,0.2891370624303818,0.6519326567649841,0.6518371105194092,0.6513755917549133,0.6497344970703125
30,4,0.15358070135116578,0.6360663175582886,0.6266148090362549,0.6350620985031128,0.6391685605049133
30,6,0.13980038464069366,0.6230708360671997,0.6196861267089844,0.6243230700492859,0.6178796291351318
30,8,0.17097983360290528,0.6272655725479126,0.6158033609390259,0.6274394392967224,0.6203584671020508
30,10,0.15626382529735566,0.6200154423713684,0.6162329316139221,0.6264147162437439,0.6258285045623779
30,12,0.15709858536720275,0.630794107913971,0.6186277866363525,0.6298825144767761,0.626470148563385
