k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,1,0.5952051520347595,0.3813975155353546,0.3809223473072052,0.3815437853336334,0.3811870515346527
10,2,0.5215121388435364,0.2567965090274811,0.3034495413303375,0.2547694146633148,0.2562378942966461
10,3,0.5300531208515167,0.18299253284931183,0.277534544467926,0.18069760501384735,0.21526069939136505
10,4,0.5772274672985077,0.7548789381980896,0.751438319683075,0.7499718070030212,0.7845975756645203
10,5,0.5241071879863739,0.7813978791236877,0.7587147951126099,0.787919282913208,0.7689363360404968
10,6,0.5205921828746796,0.7884106636047363,0.7671312689781189,0.7932365536689758,0.7745040059089661
10,7,0.529453444480896,0.8019027709960938,0.7634667158126831,0.8095539212226868,0.7851474285125732
10,8,0.558030366897583,0.8176231980323792,0.7975093126296997,0.8216909170150757,0.7887176275253296
10,9,0.5242284834384918,0.8315965533256531,0.7975633144378662,0.8317148089408875,0.7926416397094727
10,10,0.5157335519790649,0.8267017006874084,0.784206748008728,0.8220365047454834,0.8087159991264343
10,11,0.5277762174606323,0.8136338591575623,0.8059443235397339,0.8074928522109985,0.8071395754814148
10,12,0.5358343124389648,0.8822535872459412,0.803734540939331,0.8842043280601501,0.8153684735298157
10,13,0.6104496777057647,0.8892795443534851,0.7359244227409363,0.8959314823150635,0.7996822595596313
10,14,0.5303134620189667,0.8591873645782471,0.7837295532226562,0.8739984035491943,0.7511644959449768
10,15,0.5087078034877777,0.8234673142433167,0.5914840698242188,0.8390746116638184,0.7215394973754883
10,16,0.5355623006820679,0.7014349102973938,0.45664533972740173,0.7485983371734619,0.458125501871109
10,17,0.6146043956279754,0.9019519686698914,0.6659767031669617,0.9019519686698914,0.7798100113868713
10,18,0.4567691504955292,0.845548689365387,0.5659803748130798,0.8463031053543091,0.6245158314704895
