k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
15,4,0.41880947947502134,0.47554218769073486,0.45013365149497986,0.47881701588630676,0.4576975703239441
15,6,0.42083044052124025,0.817789614200592,0.6315463781356812,0.8276210427284241,0.8284513354301453
15,8,0.4166583836078644,0.8169414401054382,0.6974502801895142,0.8169414401054382,0.8680229187011719
15,10,0.40629388093948365,0.9293478727340698,0.676151692867279,0.9346240758895874,0.8213858008384705
15,12,0.41535630226135256,0.9080490469932556,0.9180970788002014,0.9080490469932556,0.8939448595046997
15,14,0.4112906038761139,0.9743426442146301,0.0028508377727121115,0.9780408143997192,0.9625110030174255
15,16,0.41002668142318727,0.963883638381958,0.779569685459137,0.9755434989929199,0.9353837966918945
15,18,0.4133753299713135,0.9565427303314209,0.6653525829315186,0.9731842875480652,0.9282099008560181
20,4,0.4374697685241699,0.5022147297859192,0.14896070957183838,0.5068990588188171,0.3746105134487152
20,6,0.4717452347278595,0.7967016696929932,0.4751725196838379,0.7988049387931824,0.7134673595428467
20,8,0.4746422618627548,0.8868564963340759,0.3410484492778778,0.9050842523574829,0.7800353169441223
20,10,0.42584351897239686,0.8365659117698669,0.0190639179199934,0.8832283616065979,0.5844759345054626
20,12,0.4600227981805801,0.9263485074043274,0.03268629312515259,0.9523524641990662,0.9288743734359741
20,14,0.47003870606422427,0.9732922315597534,0.8557584285736084,0.9686939716339111,0.9837415218353271
20,16,0.4145378232002258,0.9751849174499512,0.864009439945221,0.9797520637512207,0.9764470458030701
20,18,0.4661755830049515,0.9895539283752441,0.616435170173645,0.9888460040092468,0.9829782843589783
25,4,0.5460493803024292,0.42364969849586487,0.43384668231010437,0.4232703149318695,0.38384541869163513
25,6,0.4894099622964859,0.5544165968894958,0.198347806930542,0.569316565990448,0.5258145928382874
25,8,0.4336872577667236,0.6825038194656372,0.012568925507366657,0.7188206315040588,0.7249020934104919
25,10,0.4813815295696259,0.7416701912879944,0.7817860245704651,0.7710645794868469,0.8378121852874756
25,12,0.48308890759944917,0.7847025394439697,0.442960262298584,0.8114137053489685,0.7106634378433228
25,14,0.4592870622873306,0.9196517467498779,0.8107978701591492,0.9190891981124878,0.9345290064811707
25,16,0.4268458068370819,0.8704461455345154,0.6519142389297485,0.8596877455711365,0.7828986048698425
25,18,0.4644401133060455,0.9602273106575012,0.5513661503791809,0.9728382229804993,0.9144243597984314
30,4,0.4947281777858734,0.3352668583393097,0.3609152138233185,0.33343613147735596,0.3474193513393402
30,6,0.503304374217987,0.3263603150844574,0.35093456506729126,0.3243522346019745,0.32270970940589905
30,8,0.4656115174293518,0.24171346426010132,0.15804877877235413,0.24171346426010132,0.18098731338977814
30,10,0.47344639897346497,0.44652271270751953,0.2271660566329956,0.4364738166332245,0.4222736954689026
30,12,0.48792406916618347,0.4233727753162384,0.22075407207012177,0.3728446662425995,0.4897307753562927
30,14,0.41718834117054937,0.48562192916870117,0.13426101207733154,0.4173404276371002,0.3339735269546509
30,16,0.4538461655378342,0.9384406208992004,0.631953239440918,0.9295191168785095,0.8298525810241699
30,18,0.40982316732406615,0.9006563425064087,0.4177452623844147,0.890324592590332,0.7406600713729858
40,4,0.43963761925697326,0.34396541118621826,0.34311357140541077,0.34396541118621826,0.3174492120742798
40,6,0.4322172522544861,0.3366256058216095,0.36815205216407776,0.33528339862823486,0.35622140765190125
40,8,0.4295516788959503,0.33338797092437744,0.010579792782664299,0.3767525255680084,0.1832338124513626
40,10,0.42710400819778443,0.8176851868629456,0.1791810542345047,0.8791680932044983,0.6932158470153809
40,12,0.4371457278728485,0.6318529844284058,0.258787602186203,0.8025127649307251,0.6275455355644226
40,14,0.4253808081150055,0.857670783996582,0.8785027265548706,0.878004789352417,0.7894996404647827
40,16,0.4112915277481079,0.5520676374435425,0.0879589095711708,0.7391733527183533,0.6169466376304626
40,18,0.43639451265335083,0.5899304747581482,0.2755069434642792,0.6820988059043884,0.400774210691452
50,4,0.4234194099903107,0.09364508092403412,0.17819388210773468,0.09250450134277344,0.12391088157892227
50,6,0.4294356405735016,0.12923464179039001,0.178622767329216,0.12706400454044342,0.16089051961898804
50,8,0.42171968817710875,0.15737688541412354,0.20973461866378784,0.15374283492565155,0.17848919332027435
50,10,0.41197585463523867,0.13305075466632843,0.21352148056030273,0.1291966736316681,0.1568613201379776
50,12,0.4225938022136688,0.4451128840446472,0.5425980091094971,0.4377565383911133,0.5621958374977112
50,14,0.4170025587081909,0.6424931883811951,0.09685829281806946,0.6693350076675415,0.5667331218719482
50,16,0.4148847579956055,0.8149574398994446,0.6166437268257141,0.8501682281494141,0.8390705585479736
50,18,0.44743072986602783,0.7665768265724182,0.6924707889556885,0.7973648905754089,0.8830252885818481
100,4,0.4275408685207367,0.487944096326828,0.4725334644317627,0.4890146553516388,0.48350876569747925
100,6,0.4874722480773926,0.45332133769989014,0.4770249128341675,0.45136409997940063,0.46307075023651123
100,8,0.43891682028770446,0.5269772410392761,0.553091287612915,0.5254564881324768,0.5366813540458679
100,10,0.42548918128013613,0.5429222583770752,0.5769814252853394,0.5403637290000916,0.5495893955230713
100,12,0.4337154746055603,0.5610112547874451,0.5751814842224121,0.5583817362785339,0.5542712807655334
100,14,0.4792946994304657,0.567966103553772,0.555251955986023,0.5677412748336792,0.5568637847900391
100,16,0.4384724974632263,0.5759674906730652,0.5754832029342651,0.5736616849899292,0.5584436058998108
100,18,0.48155529499053956,0.3584807217121124,0.40341582894325256,0.34229597449302673,0.41047510504722595
