k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,4,0.33772180676460267,0.7138827443122864,0.7484686970710754,0.7121701836585999,0.705180823802948
5,6,0.3512759506702423,0.9179650545120239,0.945898175239563,0.9148839712142944,0.9655472636222839
5,8,0.3452563166618347,0.9805653095245361,0.9870758652687073,0.9789913892745972,0.9912990927696228
5,10,0.3434476912021637,0.9821204543113708,0.9760223031044006,0.97958904504776,0.9856842756271362
5,12,0.34485270977020266,0.9824609160423279,0.9922997355461121,0.980778694152832,0.9934325218200684
5,14,0.35228930711746215,0.9788166880607605,0.9808155298233032,0.9785919785499573,0.9934961795806885
5,16,0.4321748673915863,0.9891676902770996,0.9845929741859436,0.9885806441307068,0.9946711659431458
5,18,0.3513288855552673,0.9866608381271362,0.9765290021896362,0.9866608381271362,0.9907920360565186
10,4,0.34397522211074827,0.2058972269296646,0.21218889951705933,0.20113587379455566,0.20721670985221863
10,6,0.39082819819450376,0.6484487652778625,0.5897811055183411,0.7560306787490845,0.5976735949516296
10,8,0.33146325349807737,0.7255311012268066,0.8374590873718262,0.7255311012268066,0.8415283560752869
10,10,0.34031323790550233,0.896298885345459,0.9022619128227234,0.896298885345459,0.9272642135620117
10,12,0.3462142527103424,0.9602188467979431,0.9006223082542419,0.969363808631897,0.91559898853302
10,14,0.34466678500175474,0.9346956014633179,0.9463475346565247,0.9724211096763611,0.9563897252082825
10,16,0.34786475300788877,0.899368405342102,0.87840336561203,0.9520794153213501,0.8947340846061707
10,18,0.3483229219913483,0.9315110445022583,0.911492645740509,0.960218608379364,0.9396100044250488
20,4,0.33644033670425416,0.2816945016384125,0.2857796251773834,0.288046270608902,0.28798869252204895
20,6,0.3372854173183441,0.04807305708527565,0.30873551964759827,0.038662441074848175,0.11505363136529922
20,8,0.34074793457984925,0.02882140874862671,0.21345722675323486,0.02882140874862671,0.04914039000868797
20,10,0.33964561820030215,0.17906491458415985,0.1647900938987732,0.12248419225215912,0.23945099115371704
20,12,0.3493712842464447,0.29052603244781494,0.2908695936203003,0.2839135229587555,0.32453352212905884
20,14,0.3419317901134491,0.2131444811820984,0.36753588914871216,0.21850968897342682,0.4414535462856293
20,16,0.3470039963722229,0.16622772812843323,0.20048291981220245,0.16688664257526398,0.3382464349269867
20,18,0.3483291149139404,0.3583296835422516,0.26140230894088745,0.32102710008621216,0.433515727519989
25,4,0.3489345729351044,0.48916155099868774,0.49617984890937805,0.4883258640766144,0.4918809235095978
25,6,0.3436002850532532,0.01764388382434845,0.0476580411195755,0.0166216641664505,0.01771538518369198
25,8,0.341704273223877,0.026994142681360245,0.08241715282201767,0.026239823549985886,0.05701208859682083
25,10,0.3423310160636902,0.043333735316991806,0.057640478014945984,0.044148508459329605,0.13411179184913635
25,12,0.3312678039073944,0.058169230818748474,0.09850481897592545,0.05098700523376465,0.24884450435638428
25,14,0.343654477596283,0.1666402518749237,0.11716574430465698,0.2016972452402115,0.33006399869918823
25,16,0.34195473194122317,0.21427734196186066,0.048659782856702805,0.22784817218780518,0.18341326713562012
25,18,0.34214518070220945,0.10706432163715363,0.048843178898096085,0.10192707180976868,0.16355633735656738
30,4,0.3436892032623291,0.5342502593994141,0.5356223583221436,0.5347574353218079,0.5390050411224365
30,6,0.33656321167945863,0.4204338788986206,0.4719330370426178,0.4165915846824646,0.4286969304084778
30,8,0.3454143047332764,0.027113545686006546,0.04535938426852226,0.0247151218354702,0.02704530768096447
30,10,0.33217198848724366,0.03966689482331276,0.03802148625254631,0.03600015491247177,0.030987955629825592
30,12,0.33630883097648623,0.017032595351338387,0.03635989502072334,0.014385465532541275,0.014452219009399414
30,14,0.3355834424495697,0.012004764750599861,0.036272309720516205,0.008929460309445858,0.02238568291068077
30,16,0.3352172911167145,0.01384044624865055,0.041386496275663376,0.010766355320811272,0.025079848244786263
30,18,0.3404533386230469,0.011223041452467442,0.03176146745681763,0.009555062279105186,0.021357625722885132
40,4,0.34591729044914243,0.35783839225769043,0.3935200273990631,0.3569566309452057,0.3938174247741699
40,6,0.34156195521354676,0.34832140803337097,0.4074169099330902,0.34753504395484924,0.4055679738521576
40,8,0.34056368470191956,0.3700624406337738,0.417006254196167,0.3686540424823761,0.4200325608253479
40,10,0.35147644877433776,0.004795367363840342,0.015389694832265377,0.0029429704882204533,0.004663117229938507
40,12,0.4025099456310272,0.003989619202911854,0.019145391881465912,0.0032474466133862734,0.006177059840410948
40,14,0.3469257652759552,0.0066884360276162624,0.0126845333725214,0.007927171885967255,0.012032350525259972
40,16,0.41770423054695127,0.020725268870592117,0.026667863130569458,0.020725268870592117,0.0267366711050272
40,18,0.4047365367412567,0.018244726583361626,0.028016269207000732,0.019742637872695923,0.03095058538019657
50,4,0.3397023856639862,0.5300200581550598,0.5229345560073853,0.5311517715454102,0.5258802771568298
50,6,0.3440403461456299,0.45177555084228516,0.49957919120788574,0.44954854249954224,0.4637884199619293
50,8,0.3485058307647705,0.41053637862205505,0.4129246771335602,0.4090176224708557,0.4099979102611542
50,10,0.3458935976028442,0.40241897106170654,0.3975825607776642,0.4012266993522644,0.39474818110466003
50,12,0.3527501106262207,0.009305853396654129,0.012025103904306889,0.008636479265987873,0.009530867449939251
50,14,0.3496795415878296,0.007192531134933233,0.00785562489181757,0.006818546913564205,0.007664674427360296
50,16,0.34864998459815977,0.009525341913104057,0.005940641276538372,0.009525341913104057,0.006458036135882139
50,18,0.35304049849510194,0.008462030440568924,0.006099735852330923,0.009122740477323532,0.007001984864473343
100,4,0.32770553827285764,0.3439607322216034,0.2904113531112671,0.3522442579269409,0.2760767340660095
100,6,0.39599655866622924,0.3569027781486511,0.4070205092430115,0.3501361012458801,0.38676294684410095
100,8,0.34992114901542665,0.2036675363779068,0.24522139132022858,0.1945413202047348,0.20930016040802002
100,10,0.39719206392765044,0.15388673543930054,0.1370103508234024,0.13952629268169403,0.11509277671575546
100,12,0.4166841983795166,0.11918124556541443,0.12784306704998016,0.10866542160511017,0.10739938914775848
100,14,0.414913147687912,0.06992675364017487,0.07496614009141922,0.0637468472123146,0.05754302814602852
100,16,0.42603452801704406,0.05331408977508545,0.040813688188791275,0.04569963365793228,0.030006924644112587
100,18,0.4198378622531891,0.05895014852285385,0.054342448711395264,0.05235069617629051,0.04177086427807808
