k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,1,0.5200316190719605,0.5986570715904236,0.598670244216919,0.5986429452896118,0.598682165145874
10,2,0.4777144014835358,0.6109308004379272,0.6104257702827454,0.6121509671211243,0.6124521493911743
10,3,0.47117842435836793,0.6162883043289185,0.6128853559494019,0.6156587600708008,0.6116304993629456
10,4,0.4544688880443573,0.6122674942016602,0.6160068511962891,0.6071890592575073,0.600191593170166
10,5,0.4558248698711395,0.5425264239311218,0.5434783101081848,0.5408482551574707,0.5251004695892334
10,6,0.46005055904388426,0.6001825928688049,0.6029285192489624,0.5924797058105469,0.5846530795097351
10,7,0.46679401993751524,0.5848777294158936,0.5881937742233276,0.5809071063995361,0.5662768483161926
10,8,0.45899988412857057,0.6602880954742432,0.6659824252128601,0.6586535573005676,0.6353505253791809
10,9,0.44754359126091003,0.6579999923706055,0.6794482469558716,0.6558303833007812,0.6532612442970276
10,10,0.4008141100406647,0.5884819626808167,0.5865877270698547,0.5880522131919861,0.5616284012794495
10,11,0.4541056573390961,0.6005013585090637,0.5787980556488037,0.5941600203514099,0.5506722927093506
10,12,0.4599758803844452,0.5117001533508301,0.4919073283672333,0.5108171105384827,0.4996013343334198
10,13,0.46375463604927064,0.5110277533531189,0.5594950914382935,0.4918006360530853,0.5350249409675598
10,14,0.46031874418258667,0.5442955493927002,0.5046693682670593,0.5396034717559814,0.5060299634933472
10,15,0.4649577856063843,0.550722599029541,0.5057772994041443,0.5506389141082764,0.5046544075012207
10,16,0.4647779524326324,0.5454028844833374,0.4969409704208374,0.5465349555015564,0.4887571930885315
10,17,0.4647261440753937,0.5699977874755859,0.5152304768562317,0.5695956945419312,0.50130295753479
10,18,0.46190219521522524,0.5831366777420044,0.525090217590332,0.5801457166671753,0.5008923411369324
15,1,0.5169300198554992,0.42994847893714905,0.42993834614753723,0.42994043231010437,0.42996153235435486
15,2,0.5271034598350525,0.3081073462963104,0.37943896651268005,0.30473998188972473,0.3522745370864868
15,3,0.4974981665611267,0.31008270382881165,0.3764214813709259,0.3065873086452484,0.34887176752090454
15,4,0.46623105406761167,0.38220974802970886,0.3858742415904999,0.38027170300483704,0.3772450387477875
15,5,0.4565400004386902,0.45395994186401367,0.4558311104774475,0.45303958654403687,0.4498257637023926
15,6,0.46443628072738646,0.41353994607925415,0.42726829648017883,0.41245585680007935,0.4127246141433716
15,7,0.39395882487297057,0.4246041476726532,0.43511274456977844,0.4227609634399414,0.4160083532333374
15,8,0.4086086690425873,0.5131011009216309,0.5083464980125427,0.5115528702735901,0.507138729095459
15,9,0.39845497012138364,0.5206525921821594,0.5197551250457764,0.5192911624908447,0.5180298686027527
15,10,0.4500719428062439,0.5089325904846191,0.49689987301826477,0.5080094933509827,0.502042829990387
15,11,0.4677112102508545,0.46702656149864197,0.46257928013801575,0.46379801630973816,0.46034401655197144
15,12,0.46109035015106203,0.3997668921947479,0.4001738429069519,0.3997668921947479,0.3964804410934448
15,13,0.47622504234313967,0.4654024839401245,0.4708361029624939,0.45757994055747986,0.4479925334453583
15,14,0.4731528699398041,0.45250147581100464,0.4504328966140747,0.44662562012672424,0.42311590909957886
15,15,0.47463271021842957,0.45778679847717285,0.45885133743286133,0.45311158895492554,0.42816439270973206
15,16,0.47716679573059084,0.4547533690929413,0.45411527156829834,0.44581133127212524,0.4150714576244354
15,17,0.47647085785865784,0.4585723876953125,0.4561222493648529,0.4537777900695801,0.4170275628566742
15,18,0.4768811106681824,0.45887064933776855,0.4559222459793091,0.451750248670578,0.41568195819854736
20,1,0.5191577970981598,0.43562936782836914,0.43566393852233887,0.43562638759613037,0.4356326758861542
20,2,0.4202162504196167,0.39128145575523376,0.39628639817237854,0.3898439109325409,0.38498491048812866
20,3,0.47809037566185,0.3400965631008148,0.3746035695075989,0.3400965631008148,0.36408209800720215
20,4,0.4010932743549347,0.3088900148868561,0.36682990193367004,0.30424171686172485,0.33444780111312866
20,5,0.44773558974266053,0.3323875367641449,0.3576507270336151,0.32570818066596985,0.34325823187828064
20,6,0.43677438497543336,0.47390663623809814,0.45521020889282227,0.472706139087677,0.4381617307662964
20,7,0.45228053331375123,0.4380134642124176,0.41750743985176086,0.44386565685272217,0.4207339882850647
20,8,0.456333589553833,0.42304569482803345,0.41278547048568726,0.42107558250427246,0.4037657678127289
20,9,0.4531685829162598,0.44646236300468445,0.45210298895835876,0.4451723098754883,0.4245421290397644
20,10,0.45252056121826173,0.37862834334373474,0.3902723789215088,0.37732893228530884,0.3543604016304016
20,11,0.4487181335687637,0.4033506214618683,0.37284544110298157,0.4027131199836731,0.35007622838020325
20,12,0.45927259922027586,0.37643179297447205,0.3398195207118988,0.380962997674942,0.3381652534008026
20,13,0.46703290939331055,0.38586223125457764,0.36162295937538147,0.39114096760749817,0.35145747661590576
20,14,0.4652994692325592,0.3478451371192932,0.3374573588371277,0.3561951816082001,0.32477450370788574
20,15,0.46491036415100095,0.30722466111183167,0.31270632147789,0.31328293681144714,0.315203458070755
20,16,0.4738363564014435,0.30632367730140686,0.31271421909332275,0.31487950682640076,0.3105068504810333
20,17,0.46944960951805115,0.29692018032073975,0.30290788412094116,0.30437302589416504,0.30455318093299866
20,18,0.4714511692523956,0.296402245759964,0.2986387014389038,0.3001768887042999,0.30030298233032227
