k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
25,1,0.5163998365402221,0.6503332257270813,0.6503139734268188,0.6503366827964783,0.650314450263977
25,2,0.4042325973510742,0.6553298830986023,0.6547888517379761,0.6552651524543762,0.6541479825973511
25,3,0.48408265709877013,0.6673210263252258,0.6624913215637207,0.668498694896698,0.665284276008606
25,4,0.44587488770484923,0.6654581427574158,0.6615769863128662,0.6656978726387024,0.6637255549430847
25,5,0.445226263999939,0.47034645080566406,0.4860672056674957,0.46919122338294983,0.48225611448287964
25,6,0.4454318583011627,0.500023365020752,0.48832806944847107,0.4986729323863983,0.486046701669693
25,7,0.43057429790496826,0.3421734571456909,0.34189724922180176,0.34184449911117554,0.33450621366500854
25,8,0.45103707909584045,0.33949044346809387,0.34399688243865967,0.33840247988700867,0.320751816034317
25,9,0.4397627949714661,0.3886789083480835,0.3792429268360138,0.38575661182403564,0.37773415446281433
25,10,0.44540940821170805,0.41844436526298523,0.4115641713142395,0.42011013627052307,0.3817404806613922
25,11,0.4494148313999176,0.3378937840461731,0.33348268270492554,0.33789339661598206,0.33863168954849243
25,12,0.3931343674659729,0.34853020310401917,0.3504062592983246,0.34796398878097534,0.350918710231781
25,13,0.45688586235046386,0.389125794172287,0.39258456230163574,0.38786688446998596,0.38860929012298584
25,14,0.45351933836936953,0.3765055537223816,0.3991672992706299,0.3713829517364502,0.38489416241645813
25,15,0.444863760471344,0.3974730670452118,0.39824479818344116,0.40037471055984497,0.4009484648704529
25,16,0.45439125299453736,0.37600260972976685,0.3782863914966583,0.37759047746658325,0.38475510478019714
25,17,0.4620981216430664,0.38272032141685486,0.3846568763256073,0.38352853059768677,0.3909038007259369
25,18,0.4604468703269958,0.3847057819366455,0.3845503032207489,0.3847057819366455,0.3910332918167114
30,1,0.5165193438529968,0.42239341139793396,0.4224124550819397,0.42239290475845337,0.42240965366363525
30,2,0.44968428611755373,0.2562677562236786,0.35914915800094604,0.2535797357559204,0.34603214263916016
30,3,0.40088644027709963,0.24834443628787994,0.3549360930919647,0.2439294308423996,0.34144294261932373
30,4,0.4500130534172058,0.3066825270652771,0.3281358480453491,0.29964151978492737,0.30309370160102844
30,5,0.4625461757183075,0.3762516677379608,0.377576619386673,0.37616196274757385,0.3778044283390045
30,6,0.4629506528377533,0.4457584023475647,0.4422116279602051,0.44136136770248413,0.43094223737716675
30,7,0.46498746871948243,0.335226833820343,0.3180147409439087,0.32966721057891846,0.2920970618724823
30,8,0.47853896021842957,0.24762605130672455,0.2603759765625,0.24762605130672455,0.24799665808677673
30,9,0.46281453371047976,0.28747808933258057,0.2659757137298584,0.2914692163467407,0.274418443441391
30,10,0.45411052703857424,0.2734035849571228,0.25821372866630554,0.28262844681739807,0.22967807948589325
30,11,0.464465069770813,0.2943236231803894,0.2665550410747528,0.2970959544181824,0.2682662308216095
30,12,0.40593649744987487,0.25887641310691833,0.22012527287006378,0.25712230801582336,0.2448294758796692
30,13,0.4754504203796387,0.22842158377170563,0.19644223153591156,0.23164156079292297,0.20834901928901672
30,14,0.47403029203414915,0.23024049401283264,0.1918303519487381,0.23961804807186127,0.20800000429153442
30,15,0.4750733315944672,0.24581177532672882,0.19890742003917694,0.2538118064403534,0.21960419416427612
30,16,0.47404215335845945,0.24901877343654633,0.19704410433769226,0.2548239827156067,0.22711028158664703
30,17,0.4730511486530304,0.24558411538600922,0.197453111410141,0.25106194615364075,0.22840134799480438
30,18,0.46962316036224366,0.24443840980529785,0.1929614245891571,0.25496384501457214,0.22459682822227478
40,1,0.510523435473442,0.48731890320777893,0.48729023337364197,0.48731401562690735,0.48729193210601807
40,2,0.43632690906524657,0.3400740623474121,0.40411069989204407,0.33663323521614075,0.37247467041015625
40,3,0.47338336110115053,0.3098427653312683,0.33690810203552246,0.3064272999763489,0.34684523940086365
40,4,0.4103778779506683,0.2799432873725891,0.32352739572525024,0.2673013508319855,0.3378903865814209
40,5,0.4564637541770935,0.30553746223449707,0.31724148988723755,0.30219724774360657,0.3192633092403412
40,6,0.46590797901153563,0.3739185929298401,0.3681897819042206,0.3729184865951538,0.36663785576820374
40,7,0.44355814456939696,0.2990557551383972,0.29452356696128845,0.29997140169143677,0.2916574776172638
40,8,0.4645251750946045,0.23479312658309937,0.23252610862255096,0.23479312658309937,0.23008130490779877
40,9,0.40496593713760376,0.24641183018684387,0.23687653243541718,0.24594570696353912,0.23594698309898376
40,10,0.4803006827831268,0.28577592968940735,0.26224830746650696,0.28530004620552063,0.26026588678359985
40,11,0.4854180157184601,0.26790651679039,0.2543089687824249,0.26790651679039,0.24702240526676178
40,12,0.48761522173881533,0.25097474455833435,0.2229895144701004,0.2544500231742859,0.23616042733192444
40,13,0.4771649122238159,0.2550179958343506,0.21469101309776306,0.25775691866874695,0.2303343564271927
40,14,0.48142417669296267,0.1849905401468277,0.17526982724666595,0.1816641390323639,0.18986757099628448
40,15,0.47219676375389097,0.20810891687870026,0.1675935983657837,0.20508922636508942,0.21353712677955627
40,16,0.4790444016456604,0.21247994899749756,0.16331066191196442,0.21247994899749756,0.204925999045372
40,17,0.4724472939968109,0.20965886116027832,0.16561195254325867,0.20983292162418365,0.20455637574195862
40,18,0.4630370557308197,0.2140776365995407,0.1691039800643921,0.21519942581653595,0.20864057540893555
50,1,0.5184430837631225,0.5359688997268677,0.5359803438186646,0.5359676480293274,0.5359731316566467
50,2,0.4727451026439667,0.47045257687568665,0.5058549642562866,0.46855732798576355,0.4996713101863861
50,3,0.4505379915237427,0.4791904389858246,0.49470898509025574,0.47667571902275085,0.49321699142456055
50,4,0.4591056525707245,0.4837018549442291,0.5033435225486755,0.4823475182056427,0.49601829051971436
50,5,0.45393447279930116,0.46811312437057495,0.48364612460136414,0.4632091224193573,0.4767615497112274
50,6,0.45345374941825867,0.4709451198577881,0.4780119061470032,0.4733552038669586,0.48343896865844727
50,7,0.4356408596038818,0.46605154871940613,0.47868576645851135,0.470449298620224,0.4803835153579712
50,8,0.4581055223941803,0.30435827374458313,0.31568846106529236,0.30115967988967896,0.3228946924209595
50,9,0.45839219689369204,0.3443199098110199,0.3410467803478241,0.34469011425971985,0.34155717492103577
50,10,0.4438819229602814,0.3178631067276001,0.317514032125473,0.31799599528312683,0.31746935844421387
50,11,0.4459213137626648,0.29356849193573,0.294484943151474,0.29370516538619995,0.29546043276786804
50,12,0.44899116158485414,0.3305036127567291,0.32705146074295044,0.3319529592990875,0.326065331697464
50,13,0.45745078921318055,0.3259311616420746,0.323224812746048,0.3320155441761017,0.3246414363384247
50,14,0.46377686858177186,0.3070557713508606,0.3012639880180359,0.32028815150260925,0.30909353494644165
50,15,0.45329787731170657,0.2885968089103699,0.27900031208992004,0.3028566539287567,0.2854101061820984
50,16,0.461842006444931,0.2675914168357849,0.26077932119369507,0.2721481919288635,0.2615368366241455
50,17,0.46743162274360656,0.27061668038368225,0.26272204518318176,0.2752443552017212,0.26383206248283386
50,18,0.4544843554496765,0.2624545991420746,0.2565860450267792,0.2631010413169861,0.25757455825805664
100,1,0.5079846739768982,0.8890591263771057,0.8890610933303833,0.8890656232833862,0.8890841007232666
100,2,0.47023112773895265,0.8942864537239075,0.8975072503089905,0.894358217716217,0.896401047706604
100,3,0.47350252270698545,0.9271029233932495,0.9111073017120361,0.9265775680541992,0.9187394976615906
100,4,0.47284812927246095,0.9241369366645813,0.9120041728019714,0.9245348572731018,0.9136707186698914
100,5,0.46841880679130554,0.9333093762397766,0.9163256883621216,0.9346333146095276,0.9189667701721191
100,6,0.44467405080795286,0.9400886297225952,0.9132611751556396,0.9395923614501953,0.9191964268684387
100,7,0.40069776177406313,0.9315815567970276,0.9326332211494446,0.9322019219398499,0.927137017250061
100,8,0.46473645567893984,0.916252851486206,0.9087481498718262,0.9166117310523987,0.9072278738021851
100,9,0.44378672242164613,0.9202678799629211,0.9043824076652527,0.9203868508338928,0.9128085374832153
100,10,0.45916905999183655,0.9431430697441101,0.9337248206138611,0.9439961910247803,0.9223530292510986
100,11,0.45573490858078003,0.9363097548484802,0.927574872970581,0.9371584057807922,0.9219685196876526
100,12,0.45925519466400144,0.9422210454940796,0.9279453158378601,0.942859411239624,0.9308423399925232
100,13,0.4565944015979767,0.1118917167186737,0.10682057589292526,0.10998646914958954,0.11500868201255798
100,14,0.4586459517478943,0.15999633073806763,0.17472176253795624,0.1506618857383728,0.18076178431510925
100,15,0.46648576855659485,0.15844771265983582,0.16734161972999573,0.1575833261013031,0.18457704782485962
100,16,0.4627314031124115,0.16094501316547394,0.16808626055717468,0.16059742867946625,0.18321749567985535
100,17,0.45857671499252317,0.1800537109375,0.1844264566898346,0.18174520134925842,0.19925330579280853
100,18,0.4001342475414276,0.18009577691555023,0.1783566027879715,0.18240024149417877,0.18749068677425385
