k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,1,0.36674720644950864,0.35424691438674927,0.35410216450691223,0.35424715280532837,0.3541625738143921
10,2,0.24587925672531127,0.13111039996147156,0.15217125415802002,0.13142861425876617,0.15262292325496674
10,3,0.36087260246276853,0.01775134913623333,0.016426144167780876,0.017756739631295204,0.017009187489748
10,4,0.36218384504318235,0.9466474056243896,0.943510890007019,0.9466743469238281,0.9436800479888916
10,5,0.38143475651741027,0.9504900574684143,0.9448159337043762,0.9505350589752197,0.9451737403869629
10,6,0.3831727623939514,0.9437636137008667,0.9389729499816895,0.9437869787216187,0.9392400979995728
10,7,0.4533995151519775,0.9523900747299194,0.9458087086677551,0.9524960517883301,0.9475604891777039
10,8,0.4514657199382782,0.9233251214027405,0.9188176989555359,0.9235015511512756,0.9199191331863403
10,9,0.4560435891151428,0.9511802792549133,0.9400778412818909,0.9515161514282227,0.944311797618866
10,10,0.4502873599529266,0.945899248123169,0.9312894344329834,0.9462934136390686,0.9354515075683594
10,11,0.4620242536067963,0.9535184502601624,0.9412960410118103,0.9540932178497314,0.9454554915428162
10,12,0.46994298696517944,0.9360265135765076,0.9218016266822815,0.9361423850059509,0.9258887767791748
10,13,0.4694750428199768,0.93796706199646,0.9267300963401794,0.9380802512168884,0.9283825755119324
10,14,0.4743862271308899,0.9572301506996155,0.941305935382843,0.9573374390602112,0.943103551864624
10,15,0.4740298748016357,0.9665425419807434,0.9532479643821716,0.9668407440185547,0.951848566532135
10,16,0.4845337152481079,0.9585293531417847,0.9464089274406433,0.9588052034378052,0.9459385871887207
10,17,0.4931953132152557,0.9370342493057251,0.9147974848747253,0.9377139210700989,0.9189786314964294
10,18,0.4882278800010681,0.9350711107254028,0.8985618948936462,0.9357632994651794,0.9004562497138977
15,1,0.4155376315116882,0.5062110424041748,0.5062059164047241,0.5062111020088196,0.5062088966369629
20,1,0.36536949276924136,0.4229353368282318,0.42284274101257324,0.4229359030723572,0.4228614866733551
20,2,0.35023146867752075,0.1314072459936142,0.15649789571762085,0.13131579756736755,0.1684321016073227
20,3,0.37543860673904417,0.09712237864732742,0.12999610602855682,0.09708989411592484,0.1355203241109848
20,4,0.4496466815471649,0.7435054183006287,0.7509813904762268,0.7434696555137634,0.7511508464813232
20,5,0.44067139029502866,0.8757449984550476,0.8692724108695984,0.8757753372192383,0.8712334632873535
20,6,0.45037373900413513,0.3800874650478363,0.5013837218284607,0.3790096342563629,0.5074355006217957
20,7,0.46134762167930604,0.926646888256073,0.9149734973907471,0.9271854162216187,0.9148188233375549
20,8,0.46223109364509585,0.6990927457809448,0.7952800393104553,0.6982138752937317,0.7810380458831787
20,9,0.4666182577610016,0.5742242932319641,0.6662042140960693,0.5735504627227783,0.6549081206321716
20,10,0.46743245124816896,0.9457752108573914,0.9365956783294678,0.9458504915237427,0.9396406412124634
20,11,0.4597624599933624,0.9304710626602173,0.922390878200531,0.9308538436889648,0.9225855469703674
20,12,0.4785558879375458,0.8769751191139221,0.8423871397972107,0.8769857287406921,0.8482755422592163
20,13,0.4844475626945496,0.6176127791404724,0.7578736543655396,0.6155502200126648,0.7613569498062134
20,14,0.4738065183162689,0.9143652319908142,0.9045192003250122,0.914296567440033,0.9048146605491638
20,15,0.4728242099285126,0.7347148656845093,0.7754541039466858,0.7352713346481323,0.7876195311546326
20,16,0.4792590379714966,0.7408894300460815,0.7351107001304626,0.7411749958992004,0.7587969303131104
20,17,0.4901654660701752,0.8929527401924133,0.8698256611824036,0.8925467729568481,0.8876675963401794
20,18,0.49666810035705566,0.9349427223205566,0.9223254323005676,0.9350035786628723,0.9287173748016357
25,1,0.36165661215782163,0.5400055646896362,0.5400222539901733,0.5400054454803467,0.5400153994560242
25,2,0.360686856508255,0.5517563819885254,0.5472333431243896,0.5517460107803345,0.5473601818084717
30,1,0.35815847516059873,0.7248755693435669,0.7250216603279114,0.7248754501342773,0.7250069975852966
30,2,0.36342825293540953,0.801723062992096,0.7887244820594788,0.8016896843910217,0.7888028025627136
30,3,0.3630573868751526,0.788657546043396,0.7684698700904846,0.7886863350868225,0.7709156274795532
30,4,0.445819228887558,0.7109353542327881,0.7080771923065186,0.7109416723251343,0.7087220549583435
30,5,0.3873381495475769,0.7403277158737183,0.7186006903648376,0.7403353452682495,0.7245522141456604
40,1,0.36309744119644166,0.22793856263160706,0.2279588133096695,0.22793856263160706,0.2279627025127411
50,1,0.3608386993408203,0.5783106088638306,0.578227698802948,0.5783106684684753,0.5782880783081055
100,1,0.36440150141716005,0.41649195551872253,0.41646698117256165,0.41649216413497925,0.4164773225784302
