k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,1,0.6503675043582916,0.7595273852348328,0.7587575316429138,0.7596072554588318,0.7596232891082764
10,2,0.5666153252124786,0.8244543075561523,0.8099386096000671,0.827399492263794,0.8132073879241943
10,3,0.5516383349895477,0.8257038593292236,0.8095150589942932,0.8273119926452637,0.8098195195198059
10,4,0.5429207146167755,0.9618996977806091,0.9570179581642151,0.9623543620109558,0.9580578804016113
10,5,0.5326255857944489,0.9664322733879089,0.962588369846344,0.9666385054588318,0.9643763303756714
10,6,0.5411966025829316,0.9658949971199036,0.9586964249610901,0.9664093255996704,0.9604699611663818
10,7,0.5435124695301056,0.9677760004997253,0.9624225497245789,0.968021810054779,0.9646009802818298
10,8,0.544683289527893,0.9678646922111511,0.9576640129089355,0.9688612222671509,0.961267352104187
10,9,0.5467731535434723,0.9734733700752258,0.9705171585083008,0.9735146164894104,0.9723842144012451
10,10,0.5471543073654175,0.9733722805976868,0.9712796211242676,0.9734105467796326,0.972974419593811
10,11,0.5458746135234833,0.9731923937797546,0.9705823063850403,0.9732379913330078,0.9727514982223511
10,12,0.5457418382167816,0.9731254577636719,0.9703505635261536,0.9731655120849609,0.9726732969284058
10,13,0.5482548832893371,0.9731396436691284,0.9702649712562561,0.9731768369674683,0.9727042317390442
10,14,0.5458390653133393,0.973118782043457,0.9700430035591125,0.9731619358062744,0.9727052450180054
10,15,0.5462691068649292,0.9730138182640076,0.9698949456214905,0.9730479121208191,0.9725258350372314
10,16,0.5461982309818267,0.9732902646064758,0.9691640138626099,0.9733372926712036,0.9722808599472046
10,17,0.5481443464756012,0.9732342958450317,0.9688029289245605,0.9732922315597534,0.9720621705055237
10,18,0.5481991529464721,0.9730854034423828,0.9679856300354004,0.973147451877594,0.971085786819458
15,1,0.6471463501453399,0.37854325771331787,0.3785407543182373,0.3785437345504761,0.3785446286201477
15,2,0.5612722277641297,0.37245431542396545,0.37254786491394043,0.37244805693626404,0.3725040555000305
15,3,0.5658759593963623,0.3724346458911896,0.3726954758167267,0.372433602809906,0.37245652079582214
