k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,2,0.5379809141159058,0.38888785243034363,0.4603011906147003,0.38821086287498474,0.4395141899585724
10,4,0.5542446911334992,0.379944384098053,0.43105947971343994,0.3790122866630554,0.41037893295288086
10,6,0.5499040722846985,0.36527425050735474,0.41693517565727234,0.3640778362751007,0.41230615973472595
10,8,0.5494843006134034,0.37888944149017334,0.43166881799697876,0.37797391414642334,0.41531768441200256
10,10,0.5571689665317535,0.9294958710670471,0.8974352478981018,0.9325829744338989,0.9109991788864136
10,12,0.5605408728122712,0.9355636239051819,0.9067307710647583,0.9376323223114014,0.917521059513092
10,14,0.5611267566680909,0.9344744682312012,0.9053705930709839,0.9370220899581909,0.915054976940155
10,16,0.5598702311515809,0.9359543919563293,0.9089636206626892,0.9377754926681519,0.9175964593887329
10,18,0.5598197162151337,0.9366459846496582,0.9114443063735962,0.9390753507614136,0.9183092713356018
15,2,0.5556342840194702,0.17066143453121185,0.21932299435138702,0.16945809125900269,0.194718599319458
15,4,0.5530715227127075,0.13454408943653107,0.15997762978076935,0.1329728364944458,0.16198807954788208
15,6,0.5424353361129761,0.14206352829933167,0.18133920431137085,0.14124681055545807,0.1759365350008011
15,8,0.5426572799682617,0.14402636885643005,0.1807231605052948,0.14309346675872803,0.17166009545326233
15,10,0.5421217978000641,0.9047678709030151,0.880643367767334,0.9072715044021606,0.887589156627655
15,12,0.5434088468551636,0.9067957401275635,0.8776413202285767,0.9085560441017151,0.8886865973472595
15,14,0.5439614534378052,0.9073686003684998,0.8763115406036377,0.9096860289573669,0.8890036940574646
15,16,0.5433273017406464,0.908667266368866,0.8773007988929749,0.910895824432373,0.8902408480644226
15,18,0.5428436577320099,0.9099643230438232,0.8795998096466064,0.9124292135238647,0.8920710682868958
20,2,0.5567085027694703,0.4216341972351074,0.4504190981388092,0.42130693793296814,0.44652119278907776
20,4,0.547695255279541,0.42728230357170105,0.44991743564605713,0.427115797996521,0.44434159994125366
20,6,0.64370077252388,0.42678967118263245,0.4522351920604706,0.425981730222702,0.43936023116111755
20,8,0.5608919143676758,0.4282420873641968,0.44995686411857605,0.42788758873939514,0.44372543692588806
20,10,0.5613422334194184,0.8843901753425598,0.8410501480102539,0.8891619443893433,0.8455095291137695
20,12,0.5600928783416748,0.8877342939376831,0.8497089743614197,0.8916956186294556,0.8511587381362915
20,14,0.5597905158996582,0.8870576620101929,0.8487411737442017,0.891308605670929,0.850624680519104
20,16,0.5567573308944702,0.8888093829154968,0.8511649966239929,0.8935187458992004,0.8527318239212036
20,18,0.5565509140491486,0.8890083432197571,0.8487107753753662,0.8922514319419861,0.851786732673645
25,2,0.5643770694732666,0.3226970136165619,0.3895888924598694,0.32152435183525085,0.3662748336791992
25,4,0.6460428297519684,0.30753427743911743,0.37706777453422546,0.30417582392692566,0.3311067819595337
25,6,0.5565773546695709,0.2968297600746155,0.377123087644577,0.2954074442386627,0.3547847270965576
25,8,0.5532320976257324,0.3189781904220581,0.37111008167266846,0.3179772198200226,0.3677545487880707
25,10,0.6366029202938079,0.87872713804245,0.8399605751037598,0.8884758949279785,0.8534702658653259
25,12,0.6367992579936981,0.8829032778739929,0.8434794545173645,0.891384482383728,0.8576351404190063
25,14,0.6350449740886688,0.8829715847969055,0.8442621231079102,0.891735851764679,0.8618430495262146
25,16,0.6329892575740814,0.8825940489768982,0.8447364568710327,0.8910554647445679,0.8613765835762024
25,18,0.6367208123207092,0.8850782513618469,0.8486703038215637,0.8926662802696228,0.8639383316040039
30,2,0.5268121242523194,0.058906182646751404,0.10658027976751328,0.058328352868556976,0.10980429500341415
30,4,0.5305879652500153,0.05740581452846527,0.13181450963020325,0.05687159672379494,0.11426924914121628
30,6,0.5370298087596893,0.06375084072351456,0.12285839766263962,0.06330875307321548,0.109461709856987
30,8,0.5360257625579834,0.0730983316898346,0.13073457777500153,0.07241541892290115,0.10768554359674454
30,10,0.5406276106834411,0.8493399620056152,0.8020776510238647,0.8545771837234497,0.8163085579872131
30,12,0.5385881423950195,0.8536739945411682,0.800607442855835,0.858956515789032,0.8167425990104675
30,14,0.5388254642486572,0.8536207675933838,0.8006348609924316,0.8589866757392883,0.8177958726882935
30,16,0.538935762643814,0.8556012511253357,0.802511990070343,0.8606173992156982,0.8199145197868347
30,18,0.5380199730396271,0.8576915860176086,0.8016039133071899,0.8623470664024353,0.8217881321907043
40,2,0.5577618539333343,0.8796142339706421,0.8432667255401611,0.8831449747085571,0.8385881781578064
40,4,0.5443957209587097,0.9016836285591125,0.8648978471755981,0.9065077900886536,0.8792212605476379
40,6,0.5341608226299286,0.9021402597427368,0.8685639500617981,0.9053463339805603,0.8847172260284424
40,8,0.5320851504802704,0.9012086391448975,0.8693154454231262,0.9036158919334412,0.8816729784011841
40,10,0.5358473718166351,0.836418628692627,0.7958378791809082,0.8392725586891174,0.8133772015571594
40,12,0.5355549871921539,0.8413466215133667,0.8029220700263977,0.8447322845458984,0.8203932046890259
40,14,0.535466092824936,0.8434825539588928,0.8061157464981079,0.8467810750007629,0.8229066729545593
40,16,0.5358060002326965,0.8429547548294067,0.8043627142906189,0.8459462523460388,0.8218881487846375
40,18,0.5343699097633362,0.8446004390716553,0.8050591349601746,0.8475401401519775,0.8240100741386414
50,2,0.5609904646873474,0.4025205969810486,0.44738808274269104,0.4020764231681824,0.4353491961956024
50,4,0.5562944531440734,0.40090298652648926,0.4435137212276459,0.40043702721595764,0.43667060136795044
50,6,0.6307597696781159,0.406497597694397,0.44148045778274536,0.40479978919029236,0.4311063885688782
50,8,0.5551222383975982,0.41105663776397705,0.4391588270664215,0.4103761911392212,0.4388361871242523
50,10,0.5553537607192993,0.8100477457046509,0.766268253326416,0.8157957196235657,0.7797664403915405
50,12,0.6250533282756805,0.8104169368743896,0.7611761689186096,0.820628821849823,0.784515917301178
50,14,0.6228789687156677,0.8098672032356262,0.7547420859336853,0.8208802342414856,0.7846619486808777
50,16,0.6307669222354889,0.8099873661994934,0.7478965520858765,0.821079432964325,0.7840900421142578
50,18,0.6266532838344574,0.808564305305481,0.7448040843009949,0.8191107511520386,0.7815976738929749
100,2,0.5483657777309418,0.6835245490074158,0.6602510213851929,0.6867372393608093,0.6680383682250977
100,4,0.5239655554294587,0.6907504796981812,0.6653074622154236,0.6933045983314514,0.6734703183174133
100,6,0.5276526153087616,0.6883825063705444,0.6600226759910583,0.6903893947601318,0.6714279651641846
100,8,0.527428388595581,0.6869023442268372,0.6674922704696655,0.6887305974960327,0.6739458441734314
100,10,0.5351928055286408,0.70317143201828,0.670907199382782,0.7073522210121155,0.680506706237793
100,12,0.5328447163105011,0.6933603882789612,0.6613574624061584,0.6965734362602234,0.674299418926239
100,14,0.5301941573619843,0.6762924790382385,0.6702202558517456,0.6774387359619141,0.6828626990318298
100,16,0.5328015327453614,0.6822777986526489,0.6750662326812744,0.6835953593254089,0.6929334998130798
100,18,0.5374338090419769,0.6773195266723633,0.6668415665626526,0.6783051490783691,0.6883057951927185
