k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,184368,0.5200223326683044,0.3721737265586853,0.37221553921699524,0.37222862243652344,0.3720818758010864
5,184370,0.5200310111045837,0.37217381596565247,0.3722154498100281,0.372228741645813,0.3720819056034088
5,184372,0.5200298130512238,0.37217384576797485,0.3722155690193176,0.37222880125045776,0.3720819056034088
5,184374,0.5200164914131165,0.3721739947795868,0.37221553921699524,0.37222880125045776,0.3720819354057312
5,184375,0.5200218379497528,0.3721740245819092,0.37221553921699524,0.3722289502620697,0.3720819652080536
10,184368,0.5238056063652039,0.45133641362190247,0.451320081949234,0.45135316252708435,0.4513583481311798
10,184370,0.5238097369670868,0.4513363540172577,0.451320081949234,0.4513554871082306,0.45135849714279175
10,184372,0.5238060176372528,0.4513363540172577,0.4513200521469116,0.4513531029224396,0.45135849714279175
10,184374,0.5238059997558594,0.4513363540172577,0.4513200521469116,0.4513530731201172,0.4513584077358246
10,184375,0.5238072037696838,0.4513363540172577,0.4513200521469116,0.4513530731201172,0.4513583481311798
20,99226,0.5538612633943558,0.19870831072330475,0.19902800023555756,0.19884826242923737,0.1988990306854248
20,99228,0.5593126833438873,0.19869616627693176,0.19902674853801727,0.19885148108005524,0.19890287518501282
20,99230,0.5613067209720611,0.1986861675977707,0.19902631640434265,0.19885580241680145,0.19890570640563965
20,99232,0.5595159858465195,0.19872494041919708,0.1990254670381546,0.1988443285226822,0.19890053570270538
20,99234,0.5568905949592591,0.1987123340368271,0.19902119040489197,0.19882264733314514,0.19889621436595917
30,80912,0.5172393381595611,0.36050909757614136,0.36048027873039246,0.36053454875946045,0.36049914360046387
30,80914,0.5169231653213501,0.36050912737846375,0.36047977209091187,0.36053481698036194,0.36049893498420715
30,80916,0.5162149965763092,0.36050838232040405,0.3604791462421417,0.36053386330604553,0.36049842834472656
30,80918,0.5420791059732437,0.3605075776576996,0.36047860980033875,0.36053362488746643,0.360506534576416
30,80920,0.5991279184818268,0.360507994890213,0.3604785203933716,0.3605397045612335,0.36052432656288147
