k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,75154,0.14948583543300628,0.4648396670818329,0.464994877576828,0.46473655104637146,0.46479400992393494
5,75156,0.1442447006702423,0.46484801173210144,0.46499910950660706,0.4647258222103119,0.46479421854019165
5,75158,0.13843513429164886,0.4648532569408417,0.46500223875045776,0.4647279977798462,0.4647968113422394
5,75160,0.13975954204797744,0.4648521840572357,0.46500012278556824,0.464714914560318,0.4647916555404663
5,75162,0.14383473694324495,0.4648534655570984,0.46499332785606384,0.464713990688324,0.4647846519947052
10,169898,0.1910906985402107,0.2700103521347046,0.27039459347724915,0.2700425088405609,0.2700608968734741
10,169900,0.19104687236249446,0.27000918984413147,0.2703944444656372,0.27004462480545044,0.2700614333152771
10,169902,0.19072386100888253,0.27000856399536133,0.27039462327957153,0.27004626393318176,0.2700608968734741
10,169904,0.19045542366802692,0.2700085937976837,0.2703951895236969,0.2700466513633728,0.27005982398986816
10,169906,0.1895956102758646,0.2700085937976837,0.2703951895236969,0.27004683017730713,0.2700587213039398
