k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,184368,0.506645667552948,0.5569096207618713,0.5569170713424683,0.5569115877151489,0.5568942427635193
5,184370,0.5066515386104584,0.5569096207618713,0.5569170713424683,0.5569115877151489,0.5568943023681641
5,184372,0.5065642535686493,0.5569095611572266,0.5569170713424683,0.5569115877151489,0.5568943619728088
5,184374,0.5065295040607453,0.5569095611572266,0.5569170713424683,0.5569115877151489,0.5568943619728088
5,184375,0.5065316021442413,0.5569095611572266,0.5569170713424683,0.5569115877151489,0.5568943619728088
10,46254,0.5076133012771606,0.43419429659843445,0.43421489000320435,0.4341917932033539,0.43420645594596863
10,46256,0.5059348344802856,0.4341917932033539,0.4342149496078491,0.4341898560523987,0.43420618772506714
10,46258,0.5060276687145233,0.43419259786605835,0.43421468138694763,0.43419039249420166,0.4342062771320343
10,46260,0.5017580807209014,0.434192955493927,0.4342145025730133,0.43419134616851807,0.4342065453529358
10,46262,0.5016765773296357,0.43419259786605835,0.4342140555381775,0.4341910779476166,0.434206485748291
